HOME,WORK,TRANSPORT,OTHER
0.92,0.03,0.02,0.03
0.92,0.03,0.02,0.03
0.92,0.03,0.02,0.03
0.92,0.03,0.02,0.03
0.92,0.03,0.02,0.03
0.92,0.03,0.03,0.02
0.85,0.06,0.06,0.03
0.75,0.12,0.06,0.07
0.6,0.2,0.05,0.15
0.5,0.28,0.04,0.18
0.45,0.3,0.04,0.21
0.45,0.3,0.04,0.21
0.45,0.3,0.04,0.21
0.45,0.3,0.05,0.2
0.5,0.25,0.1,0.15
0.45,0.3,0.05,0.2
0.45,0.3,0.06,0.19
0.5,0.2,0.08,0.22
0.6,0.1,0.08,0.22
0.7,0.05,0.05,0.2
0.75,0.03,0.05,0.17
0.8,0.03,0.04,0.13
0.85,0.03,0.03,0.09
0.9,0.03,0.02,0.05
